 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve
131.1796875,48.39267016,-0.071644761,-0.063301329,5.8168896320000005,29.11939008,5.723191936,34.22910648
111.2109375,38.62998599,0.212744228,1.297680872,2.336956522,19.62250786,9.882153178,105.0040294
139.6875,45.73236511,-0.09970265199999999,-0.173114678,99.17140468,89.87525665,-0.165798884,-1.9048582859999998
135.953125,46.87730984,0.108746126,-0.011254562,2.2015050169999997,17.19561947,8.98690529,90.15211043
99.890625,47.72990977,0.570213627,0.278228949,2.431438127,19.64746526,8.955801487,84.16528711
89.0859375,38.99720089,0.255870722,1.627648037,3.336120401,16.89003584,7.278727355,68.67160351
107.9609375,36.57406918,0.223428932,1.3464491719999998,2.242474916,14.96544745,9.613356653,113.9969631
114.0078125,40.89515866,-0.17845139,0.840849603,3.096989967,22.49527541,8.019900861,67.81135397
108.1875,33.57727794,0.38243247,2.726044645,6.3520066889999995,32.86468667,5.498241734,30.23470193
135.8984375,50.39001635,-0.06782552,-0.383874471,4.1948160539999995,20.40385743,6.780406577000001,56.31619467
138.6796875,50.06947261,-0.17266002100000002,0.150376599,1.434782609,15.69419063,12.06878675,153.2354199
139.6015625,50.04300336,-0.15564061199999998,-0.14739491400000002,2.72993311,14.55860514,8.588724632,102.61457759999999
101.4453125,52.10878174,0.45806688700000003,-0.068505074,1.852842809,12.43451409,10.98479204,168.0331732
114.40625,45.64527589,0.043662775,0.114669323,2.091973244,13.2924364,9.921934242,136.5427469
142.1875,44.90471683,-0.20271984199999998,0.357344451,2.89632107,17.8024073,7.626947786000001,68.49727964
123.0078125,51.40669583,0.25379260600000003,-0.185199888,2.178929766,16.0028663,10.35068398,125.76995339999999
106.6484375,56.14136591,0.393052433,-0.470738576,3.7759197319999998,23.72878293,7.048874018999999,53.01416346
86.2421875,34.71462815,0.7722808959999999,3.534833873,2.173076923,13.50316367,10.59176765,148.69153980000002
108.4140625,39.49674182,0.598464225,1.268669526,0.588628763,8.21693767,25.83057657,771.1912298999999
143.2578125,50.85629971,-0.227542776,-0.08870822099999999,1.6730769230000002,11.85070074,12.205321699999999,203.8388841
101.53125,46.39469553,0.23618863699999998,0.187751809,3.8010033439999997,21.83586229,7.060129859,55.3261225
135.9609375,45.43236772,0.036673166,0.113780829,55.45401338,79.7834573,0.859006816,-1.04303387
119.4375,52.87481531,-0.002549267,-0.46036028700000003,2.365384615,16.49803188,9.008351897999999,94.75565692
137.3515625,51.11225236,-0.25685984100000003,-0.194805952,1.4456521740000001,11.54044319,13.81191365,244.26485559999998
122.46875,47.93011473,0.0675396,-0.153882174,3.855351171,21.64864567,6.722928938,50.18313992
128.4609375,44.40789315,-0.035675849,-0.16952585899999997,4.656354515,22.13461706,6.323110219,46.65180069
92.796875,33.64970268,0.580488979,3.3070888569999997,1.328595318,10.44750623,14.75531107,305.1449588
132.0390625,45.235564399999994,-0.140807882,0.133656432,1.216555184,11.54513146,14.91907849,274.47575889999996
113.203125,51.85758132,0.307463696,0.137797193,2.074414716,18.64194342,9.805805146,100.742006
107.03125,42.39120957,0.513810839,1.189648018,1.7474916390000002,15.66720534,11.21318831,140.9562157
123.0390625,52.97425707,0.123674105,-0.42398648,27.004180600000005,68.75577798,2.302242486,3.5793744710000004
88.5078125,40.39163668,0.447827556,1.649203081,2.8561872910000004,22.25921447,8.47579196,74.60658875
110.4765625,41.28577328,0.22870783600000003,0.408540245,5.377090301,29.8211353,5.810858036,33.75831415
122.7578125,46.64807507,0.133018086,0.43326237799999995,2.515050167,16.61789565,8.201484811,80.05320572
115.40625,45.379035200000004,0.27042253,0.18623272,2.203177258,15.89713032,9.45990383,105.7732169
129.1484375,53.260722200000004,-0.0018635820000000001,-0.161150121,2.953177258,16.39630888,8.032950523,81.06391004
98.7578125,44.39994829,0.547758234,0.815399916,6.02090301,30.96476147,5.935719993999999,36.14820478
115.234375,46.68971454,0.289336391,0.38039652399999996,2.2625418059999998,16.328094099999998,9.84443555,113.545002
99.3671875,35.51141346,0.394583953,2.186632832,5.6212374579999995,25.65182719,5.095717334,28.17232401
122.09375,51.99135107,0.077431779,-0.216043601,1.755016722,14.07140236,12.840494,195.2862676
117.484375,47.79660428,0.49002393200000005,0.261854073,19.75334448,49.47711741,2.400370794,4.509323072
107.1484375,48.90761218,0.318516794,-0.128622645,1.051003344,9.778392704,17.76109587,405.8298591
96.453125,36.07714377,0.5930822720000001,2.0099808919999997,12.4548495,43.00994054,3.381583923,10.11561855
123.09375,52.06732983,0.134037582,-0.40018801299999995,85.17976589,92.84573979,0.20550178300000002,-1.8842152669999999
105.5078125,47.69728702,0.231763463,0.018627137,1.83277592,16.09842623,10.53236966,122.60563140000001
121.1953125,47.61139218,-0.086566058,-0.264821304,1.4030100330000002,13.79744018,12.20153841,168.37865380000002
110.0859375,48.52287272,0.309723848,0.35225148799999995,4.5326086960000005,27.61663815,6.383183979,40.98770935
106.921875,50.29516151,0.068081305,-0.15022596900000001,0.678929766,11.30863423,18.27913989,352.14235539999993
105.796875,51.43690908,0.247117723,-0.140497664,2.192307692,15.66224208,8.872622427,95.05761240000001
130.6328125,53.13380384,0.163213636,-0.787813653,142.1856187,82.33954089,-0.687955054,-0.923200345
