 Mean of the integrated profile, Standard deviation of the integrated profile, Excess kurtosis of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Standard deviation of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve
123.9375,50.73333316,-0.17445049199999998,0.094805171,0.300167224,7.564949538,32.17418904,1072.793069
117.0234375,43.90427528,0.118215526,0.661201313,0.324414716,7.565661682999999,32.11141593,1071.604226
142.15625,49.17784014,-0.016872981000000002,-0.041110494,0.372909699,7.663910248,30.99291931,1017.403028
119.484375,48.76505927,0.03146022,-0.112167573,0.99916388,9.279612239,19.20623018,479.7565669
66.796875,67.40286522,1.134214234,0.007024439,1.111204013,13.05853204,13.967321499999999,217.19492689999998
103.0,54.06506497,0.375239072,-0.346317476,0.892140468,9.299867213999999,19.51418001,482.143733
65.78125,40.7509466,2.060781102,5.286088291,135.6488294,37.88784395,0.313846774,0.735466372
57.0625,85.79734025,1.4063910469999998,0.08951970699999999,188.30602009999998,64.71256228,-1.5975265790000002,1.42947536
109.8671875,51.39770956,0.264218134,-0.30987775100000003,0.66722408,10.64647614,20.99217866,469.91586550000005
27.6015625,40.35009678,4.198134037,17.82994585,3.4757525080000002,21.03266882,7.956236637999999,70.14870181
48.9453125,39.18830912,3.1451412660000004,11.66154241,192.1011706,50.9463023,-1.507778581,1.851651881
107.7109375,45.13177794,0.56034859,0.890947675,0.5802675589999999,10.86721675,20.12576522,418.7927267
79.078125,40.918480200000005,0.653714405,1.640293284,1.345317726,10.37589436,15.46814969,324.0394442
81.7109375,37.31059508,0.890628744,2.4980715730000003,0.971571906,10.804551,16.12443437,311.1461186
93.9765625,46.32973951,0.37470179,0.5061159510000001,0.8595317729999999,10.86949035,16.79177499,326.89677810000006
80.0546875,39.681408700000006,0.585329567,1.818591421,1.295150502,10.55669563,15.23057777,307.54801069999996
103.828125,45.09193896,0.521968842,0.19760376300000002,1.064381271,9.659332857,18.1481764,423.7272087
81.671875,75.28903777,1.0179152790000001,-0.624377062,133.0744147,65.39756458,-0.6832376590000001,-0.32945402
74.3125,77.07400563,1.123778342,-0.38746373700000003,40.16137124,49.02973174,1.2817071359999999,1.683086399
99.59375,33.88063549,0.53145588,2.7960156769999998,0.7424749159999999,9.679076245,19.49492811,449.2208646000001
86.765625,38.06788434,0.424053905,2.0907611680000002,0.75083612,11.69897478,17.70617161,336.27187660000004
79.1484375,49.70130938,1.333943536,2.315716718,191.020903,67.32951018,-2.2806259819999997,3.7543018530000003
99.296875,44.55375254,0.47810088100000003,0.8004720909999999,0.7692307690000001,9.805222982,18.691002100000002,418.7236267
89.046875,44.66294944,0.7473099679999999,0.842679492,0.8110367890000001,10.60365678,17.08737246,340.52454339999997
101.375,44.47067152,0.413024379,0.888906938,0.7157190640000001,9.514086743,19.29038432,454.32326910000006
64.921875,40.97018912,2.1149685419999997,6.430964285,1.722408027,13.961839999999999,12.93879994,193.34908719999999
99.3515625,47.484634,0.266439621,0.144338669,0.905518395,10.02081127,17.58396727,381.907172
92.8046875,34.36910372,0.718022356,3.102618922,0.9732441470000001,9.94731707,17.00106522,375.847808
103.78125,42.33533127,0.246691382,0.511385919,0.5443143810000001,10.265646,20.61359314,446.0356593
74.6328125,75.86716095,0.834879565,-0.8387424720000001,67.62374582,81.19988903,0.9988247990000001,-0.311267309
75.296875,50.49603316,2.193072134,4.684520017,60.69063545,48.62992059,0.974168479,1.4913506980000002
80.28125,36.89786103,0.9480619379999999,2.7668607119999997,0.7274247490000001,11.20854087,18.49844633,371.19334150000003
75.75,35.40237457,0.7395630059999999,3.8338371189999996,1.2015050170000001,12.58823166,13.37998477,206.50526509999997
87.15625,50.25317737,2.042072556,4.2296060639999995,55.36538462,49.63494938,1.165437686,1.9207742680000002
89.0625,40.73058395,0.6244523120000001,1.216102017,0.953177258,10.33556455,17.77638165,377.6605367
86.78125,39.64883697,0.568700635,1.659982864,0.7232441470000001,10.25467484,18.34617192,384.5292841
